Position x [mm];Position y [mm];Position z [mm];Volumen [mm³];Oberfläche [mm²];Mittlere Porosität [%];Porositätsabweichung [%];Maximale Porosität [%];Beschreibung;Bild;Fokussiertes Bild;Screenshots
-0,8991;0,4140;37,6157;0,03;0,64;2,53;0,40;3,61;;Aus;Aus;0
-0,9174;0,7706;71,8229;0,01;0,30;2,25;0,17;2,67;;Aus;Aus;0
-0,9175;3,2705;20,6302;0,00;0,02;2,00;0,00;2,01;;Aus;Aus;0
-0,9283;-0,5441;76,9413;0,47;6,58;4,30;2,46;16,55;;Aus;Aus;0
-0,9371;-2,2806;69,9678;0,00;0,15;2,11;0,07;2,28;;Aus;Aus;0
-0,9395;0,1761;70,7509;0,05;1,04;3,12;0,89;5,63;;Aus;Aus;0
-0,9537;-1,6941;64,0046;0,19;2,45;4,46;2,28;12,16;;Aus;Aus;0
-0,9575;-1,8356;63,0453;0,05;1,31;2,34;0,27;3,22;;Aus;Aus;0
-0,9591;0,5599;46,8124;288,97;1739,61;3,94;4,44;63,17;;Aus;Aus;0
-0,9791;-0,0233;63,9304;0,32;5,05;3,51;1,49;9,68;;Aus;Aus;0
-0,9826;-1,6526;19,3028;0,01;0,23;2,21;0,14;2,54;;Aus;Aus;0
-0,9853;1,9867;23,6545;0,04;0,81;2,62;0,46;3,86;;Aus;Aus;0
-0,9860;0,7026;62,6398;0,01;0,26;2,20;0,14;2,54;;Aus;Aus;0
-0,9917;3,1256;77,2864;0,09;2,04;2,24;0,20;2,87;;Aus;Aus;0
-1,0022;-3,0487;77,9057;0,04;1,09;2,15;0,10;2,41;;Aus;Aus;0
-1,0034;-1,7827;22,3780;0,00;0,14;2,12;0,08;2,30;;Aus;Aus;0
-1,0089;3,1065;21,2643;0,05;1,17;2,14;0,10;2,42;;Aus;Aus;0
-1,0259;-1,2932;75,0231;0,02;0,52;2,48;0,35;3,42;;Aus;Aus;0
-1,0275;-0,0994;35,8449;0,00;0,16;2,07;0,04;2,17;;Aus;Aus;0
-1,0346;-3,0077;76,7463;0,00;0,03;2,01;0,00;2,01;;Aus;Aus;0
-1,0370;-1,9728;20,5829;0,03;0,73;2,76;0,57;4,29;;Aus;Aus;0
-1,0425;-0,7452;62,1645;0,12;2,18;3,28;1,22;7,68;;Aus;Aus;0
-1,0456;0,1237;30,0175;0,00;0,11;2,08;0,05;2,20;;Aus;Aus;0
-1,0524;1,0507;29,7683;0,00;0,03;2,02;0,01;2,04;;Aus;Aus;0
-1,0614;1,0027;67,4907;0,43;4,56;6,18;4,36;21,45;;Aus;Aus;0
-1,0632;-0,8181;32,4592;0,00;0,18;2,10;0,07;2,26;;Aus;Aus;0
-1,0685;-1,8237;60,0311;0,04;0,92;2,59;0,42;3,67;;Aus;Aus;0
-1,0703;1,4966;79,1199;0,10;1,53;3,83;1,57;8,69;;Aus;Aus;0
-1,0742;-2,1657;60,8504;0,23;2,81;5,00;3,00;16,03;;Aus;Aus;0
-1,0762;-0,7216;70,2613;0,00;0,05;2,04;0,02;2,09;;Aus;Aus;0
-1,0839;3,1070;67,7393;0,00;0,18;2,04;0,02;2,10;;Aus;Aus;0
-1,0895;1,1827;18,9459;0,00;0,16;2,21;0,14;2,53;;Aus;Aus;0
-1,0941;-1,4204;24,5190;0,04;0,90;2,75;0,58;4,39;;Aus;Aus;0
-1,0961;-0,1175;74,2374;0,35;4,55;4,21;2,07;11,79;;Aus;Aus;0
-1,0979;-0,1668;49,1660;0,05;1,22;2,48;0,43;3,82;;Aus;Aus;0
-1,1007;-0,2864;75,1775;0,05;1,03;3,15;0,91;5,76;;Aus;Aus;0
-1,1315;3,0327;79,0779;0,13;2,88;2,18;0,13;2,61;;Aus;Aus;0
-1,1318;0,8584;47,3369;0,00;0,08;2,04;0,03;2,10;;Aus;Aus;0
-1,1352;1,2235;67,8485;0,00;0,20;2,19;0,13;2,50;;Aus;Aus;0
-1,1494;-0,7905;66,6485;0,20;2,51;5,54;3,49;17,92;;Aus;Aus;0
-1,1522;0,0376;32,2131;0,01;0,23;2,10;0,07;2,26;;Aus;Aus;0
-1,1525;0,9522;73,7616;0,05;1,03;3,27;1,02;6,21;;Aus;Aus;0
-1,1625;-2,2679;21,3746;0,01;0,25;2,20;0,14;2,54;;Aus;Aus;0
-1,1642;-0,1890;22,7685;0,01;0,35;2,35;0,24;2,95;;Aus;Aus;0
-1,1861;0,3244;19,0410;0,03;0,65;3,03;0,81;5,29;;Aus;Aus;0
-1,1925;2,8700;60,2368;0,07;1,23;2,88;0,74;5,14;;Aus;Aus;0
-1,1987;-1,1063;57,7932;0,03;0,68;2,61;0,45;3,81;;Aus;Aus;0
-1,1997;1,0013;64,8262;0,00;0,17;2,14;0,10;2,38;;Aus;Aus;0
-1,2060;1,9449;68,8764;0,04;0,85;2,72;0,54;4,16;;Aus;Aus;0
-1,2064;2,1095;19,0333;0,05;0,99;3,36;1,03;5,91;;Aus;Aus;0
-1,2120;-0,0112;50,8943;0,02;0,52;2,26;0,18;2,73;;Aus;Aus;0
-1,2126;2,1170;65,1722;0,06;1,10;2,96;0,78;5,23;;Aus;Aus;0
-1,2221;-0,1784;60,2944;0,03;0,77;2,77;0,59;4,42;;Aus;Aus;0
-1,2303;0,7273;60,2692;0,15;2,10;4,81;2,66;13,78;;Aus;Aus;0
-1,2356;-1,3174;19,6739;0,08;1,31;3,49;1,22;7,09;;Aus;Aus;0
-1,2473;-1,1454;68,4188;0,06;1,15;3,35;1,08;6,48;;Aus;Aus;0
-1,2512;-1,5082;78,8713;0,00;0,11;2,10;0,07;2,26;;Aus;Aus;0
-1,2558;1,0181;78,2005;0,01;0,40;2,35;0,25;2,99;;Aus;Aus;0
-1,2594;3,1046;21,7285;0,00;0,19;2,05;0,03;2,12;;Aus;Aus;0
-1,2710;0,0013;51,9278;0,06;1,18;2,92;0,76;5,25;;Aus;Aus;0
-1,2891;-0,0550;63,0840;0,01;0,37;2,36;0,26;3,00;;Aus;Aus;0
-1,3027;2,0984;72,5031;0,02;0,57;2,22;0,17;2,71;;Aus;Aus;0
-1,3068;1,1180;63,4284;0,10;1,59;3,77;1,50;8,33;;Aus;Aus;0
-1,3282;-1,2569;58,6647;0,03;0,70;2,74;0,55;4,19;;Aus;Aus;0
-1,3352;0,6876;72,4452;0,51;5,63;5,26;3,20;17,31;;Aus;Aus;0
-1,3394;1,5627;65,8036;0,03;0,66;2,55;0,40;3,58;;Aus;Aus;0
-1,3401;1,3788;25,0306;0,00;0,09;2,02;0,02;2,06;;Aus;Aus;0
-1,3585;2,8897;69,3686;0,01;0,30;2,10;0,07;2,28;;Aus;Aus;0
-1,3710;-2,9036;60,1073;0,00;0,08;2,01;0,01;2,03;;Aus;Aus;0
-1,3748;0,8515;21,4301;0,02;0,58;2,55;0,40;3,59;;Aus;Aus;0
-1,3752;-2,8935;79,1630;0,00;0,05;2,02;0,01;2,04;;Aus;Aus;0
-1,3855;-2,5051;59,1750;0,05;0,97;2,82;0,65;4,71;;Aus;Aus;0
-1,3997;0,6904;60,9427;0,00;0,08;2,07;0,05;2,18;;Aus;Aus;0
-1,4005;-2,6766;19,6722;0,03;0,93;2,19;0,20;2,86;;Aus;Aus;0
-1,4039;-2,8359;19,0625;0,00;0,14;2,06;0,04;2,14;;Aus;Aus;0
-1,4090;-1,5917;64,9434;0,00;0,17;2,13;0,09;2,35;;Aus;Aus;0
-1,4264;-0,4579;70,5520;0,01;0,34;2,32;0,22;2,86;;Aus;Aus;0
-1,4307;-2,0045;57,7098;0,01;0,22;2,06;0,04;2,16;;Aus;Aus;0
-1,4416;-1,1785;78,4599;0,01;0,25;2,23;0,16;2,61;;Aus;Aus;0
-1,4462;0,2327;48,8106;0,00;0,11;2,06;0,04;2,15;;Aus;Aus;0
-1,4534;-2,8655;70,2985;0,06;1,37;2,20;0,15;2,65;;Aus;Aus;0
-1,4615;1,7163;24,3109;0,01;0,43;2,27;0,20;2,77;;Aus;Aus;0
-1,4695;-1,3428;73,8021;0,04;0,88;2,91;0,71;4,89;;Aus;Aus;0
-1,4900;-1,7533;66,6522;0,24;2,90;5,02;2,85;14,73;;Aus;Aus;0
-1,4983;0,6902;79,1484;0,22;3,53;4,19;2,38;13,06;;Aus;Aus;0
-1,5021;1,2812;59,3501;0,01;0,34;2,33;0,23;2,92;;Aus;Aus;0
-1,5151;-2,7415;20,6528;0,04;0,89;2,16;0,11;2,40;;Aus;Aus;0
-1,5266;-2,7518;68,0487;0,00;0,15;2,05;0,03;2,12;;Aus;Aus;0
-1,5367;-2,8035;78,4647;0,03;0,81;2,21;0,15;2,60;;Aus;Aus;0
-1,5385;-1,6882;76,9817;0,45;5,38;5,23;3,11;16,67;;Aus;Aus;0
-1,5420;0,4228;70,0543;0,01;0,36;2,32;0,23;2,87;;Aus;Aus;0
-1,5473;-1,9317;71,2090;0,00;0,02;2,02;0,01;2,04;;Aus;Aus;0
-1,5512;-0,7688;79,2597;0,03;0,76;2,80;0,60;4,41;;Aus;Aus;0
-1,5580;1,7076;73,1737;0,00;0,01;2,01;0,01;2,02;;Aus;Aus;0
-1,5587;3,0445;72,4803;0,00;0,00;2,03;0,00;2,03;;Aus;Aus;0
-1,5599;-0,6167;71,1306;0,13;2,16;3,04;0,88;6,24;;Aus;Aus;0
-1,5818;-2,4694;60,2377;0,00;0,03;2,01;0,01;2,03;;Aus;Aus;0
-1,5878;-2,8093;76,1202;0,06;1,44;2,20;0,15;2,67;;Aus;Aus;0
-1,5915;3,0001;65,2086;0,00;0,00;2,11;0,00;2,11;;Aus;Aus;0
-1,6008;3,0034;73,2358;0,00;0,00;2,18;0,03;2,20;;Aus;Aus;0
-1,6014;-2,2366;23,7950;0,01;0,28;2,15;0,11;2,41;;Aus;Aus;0
-1,6312;1,6460;67,9274;0,11;1,68;3,83;1,59;8,84;;Aus;Aus;0
-1,6334;-0,9313;29,3850;0,00;0,05;2,03;0,02;2,07;;Aus;Aus;0
-1,6394;0,4977;20,4664;0,76;7,71;6,58;4,81;24,48;;Aus;Aus;0
-1,6404;-2,6855;66,8199;0,00;0,21;2,05;0,03;2,13;;Aus;Aus;0
-1,6441;0,3472;60,4392;0,00;0,11;2,09;0,06;2,22;;Aus;Aus;0
-1,6444;1,2075;71,1367;0,10;1,59;4,00;1,74;9,51;;Aus;Aus;0
-1,6735;1,3898;64,8359;0,03;0,88;2,36;0,26;3,17;;Aus;Aus;0
-1,6919;-1,2725;60,8759;0,05;1,02;3,15;0,90;5,67;;Aus;Aus;0
-1,7021;-1,0322;63,1589;0,00;0,13;2,11;0,07;2,27;;Aus;Aus;0
-1,7188;-2,7392;21,5072;0,03;0,78;2,23;0,17;2,66;;Aus;Aus;0
-1,7306;1,9662;19,8962;0,02;0,59;2,50;0,36;3,42;;Aus;Aus;0
-1,7364;2,7842;21,6603;0,01;0,31;2,06;0,04;2,15;;Aus;Aus;0
-1,7428;2,7899;20,8785;0,02;0,50;2,20;0,14;2,54;;Aus;Aus;0
-1,7474;-1,8859;58,0599;0,02;0,63;2,18;0,13;2,50;;Aus;Aus;0
-1,7543;-0,3632;23,1864;0,11;1,70;4,40;2,13;11,16;;Aus;Aus;0
-1,7642;-0,2520;67,1167;0,07;1,20;3,39;1,14;6,76;;Aus;Aus;0
-1,7858;1,6160;67,0369;0,21;3,27;3,94;1,94;11,46;;Aus;Aus;0
-1,7898;0,9180;75,7537;0,00;0,19;2,18;0,12;2,48;;Aus;Aus;0
-1,7946;-0,7936;21,8308;0,26;3,18;5,88;4,01;20,26;;Aus;Aus;0
-1,7975;-2,6179;77,5836;0,01;0,23;2,06;0,04;2,16;;Aus;Aus;0
-1,8017;-0,1008;24,1290;0,04;0,79;2,77;0,59;4,33;;Aus;Aus;0
-1,8089;-1,6361;62,2558;0,00;0,10;2,07;0,05;2,17;;Aus;Aus;0
-1,8310;-1,0064;67,0688;0,01;0,39;2,33;0,23;2,90;;Aus;Aus;0
-1,8468;0,7962;73,2869;0,03;0,64;2,56;0,43;3,70;;Aus;Aus;0
-1,8821;2,6580;67,3023;0,01;0,32;2,14;0,10;2,38;;Aus;Aus;0
-1,8825;-2,4042;22,3517;0,36;6,33;2,31;0,23;3,11;;Aus;Aus;0
-1,8856;-0,7199;74,3908;0,02;0,57;2,45;0,32;3,26;;Aus;Aus;0
-1,8941;-0,1227;78,1994;0,05;0,99;3,06;0,82;5,35;;Aus;Aus;0
-1,8946;-2,5994;60,8041;0,02;0,49;2,10;0,07;2,26;;Aus;Aus;0
-1,9038;0,9853;23,0112;0,01;0,42;2,38;0,27;3,06;;Aus;Aus;0
-1,9335;2,5092;78,0287;0,00;0,03;2,01;0,01;2,02;;Aus;Aus;0
-1,9340;2,7089;19,9760;0,08;1,35;2,91;0,76;5,24;;Aus;Aus;0
-1,9353;-1,5581;20,1091;0,21;2,53;5,09;2,94;15,14;;Aus;Aus;0
-1,9526;2,7386;18,9842;0,02;0,57;2,23;0,18;2,71;;Aus;Aus;0
-1,9640;-0,2320;22,6551;0,13;1,90;4,00;1,71;9,25;;Aus;Aus;0
-1,9760;-2,5580;19,5652;0,00;0,19;2,08;0,06;2,22;;Aus;Aus;0
-1,9962;-2,4944;76,8570;0,00;0,14;2,04;0,02;2,09;;Aus;Aus;0
-2,0034;-2,4733;68,1453;0,00;0,14;2,04;0,03;2,11;;Aus;Aus;0
-2,0176;2,2929;78,8456;0,00;0,02;2,01;0,00;2,01;;Aus;Aus;0
-2,0266;2,1379;23,0505;0,03;0,63;2,30;0,23;2,91;;Aus;Aus;0
-2,0700;-0,6617;68,7657;0,01;0,31;2,26;0,18;2,69;;Aus;Aus;0
-2,0951;2,5568;22,0346;0,00;0,08;2,02;0,01;2,05;;Aus;Aus;0
-2,1019;1,2826;69,2842;0,14;1,92;4,47;2,22;11,76;;Aus;Aus;0
-2,1060;-1,0776;19,1767;0,18;2,30;5,10;2,70;13,85;;Aus;Aus;0
-2,1103;0,7098;78,3746;0,00;0,06;2,04;0,03;2,10;;Aus;Aus;0
-2,1422;0,5716;77,3737;0,15;2,04;4,77;2,55;13,25;;Aus;Aus;0
-2,1606;-1,5564;68,6244;0,01;0,26;2,21;0,14;2,56;;Aus;Aus;0
-2,1688;1,0069;65,4119;0,01;0,26;2,12;0,08;2,31;;Aus;Aus;0
-2,1781;-0,2561;71,3106;0,00;0,08;2,05;0,03;2,13;;Aus;Aus;0
-2,1965;-2,2471;78,3467;0,14;2,80;2,27;0,21;2,94;;Aus;Aus;0
-2,2095;-1,0575;77,3922;0,05;1,09;2,79;0,59;4,35;;Aus;Aus;0
-2,2137;0,3608;71,8802;0,01;0,40;2,32;0,23;2,87;;Aus;Aus;0
-2,2137;0,0244;62,6060;0,19;2,93;3,66;1,72;9,65;;Aus;Aus;0
-2,2147;-2,2610;20,6212;0,00;0,19;2,07;0,05;2,19;;Aus;Aus;0
-2,2249;0,3269;69,7594;0,39;4,58;4,52;2,29;12,67;;Aus;Aus;0
-2,2279;-1,3169;20,9022;0,01;0,43;2,37;0,27;3,06;;Aus;Aus;0
-2,2286;-2,3118;76,0315;0,01;0,21;2,10;0,07;2,26;;Aus;Aus;0
-2,2323;-2,3035;60,3538;0,00;0,11;2,03;0,02;2,07;;Aus;Aus;0
-2,3320;-2,2573;59,4744;0,01;0,42;2,19;0,13;2,50;;Aus;Aus;0
-2,3387;-0,5307;21,0493;0,04;0,81;2,81;0,61;4,51;;Aus;Aus;0
-2,3584;-0,3493;67,2533;0,00;0,19;2,14;0,10;2,37;;Aus;Aus;0
-2,3734;2,2931;22,5764;0,02;0,62;2,11;0,07;2,28;;Aus;Aus;0
-2,3925;2,1635;69,7244;0,00;0,16;2,05;0,03;2,13;;Aus;Aus;0
-2,4304;-0,8909;76,5670;0,00;0,08;2,06;0,04;2,16;;Aus;Aus;0
-2,4323;2,1007;78,6753;0,00;0,11;2,03;0,02;2,09;;Aus;Aus;0
-2,4435;-0,5444;70,6383;0,03;0,77;2,70;0,53;4,14;;Aus;Aus;0
-2,4834;1,5132;68,3059;0,01;0,35;2,22;0,16;2,63;;Aus;Aus;0
-2,4844;-2,1378;21,3754;0,05;1,19;2,18;0,12;2,48;;Aus;Aus;0
-2,5149;-0,2434;77,4156;0,06;1,13;3,07;0,84;5,45;;Aus;Aus;0
-2,5178;-0,5785;66,2986;0,03;0,72;2,71;0,54;4,18;;Aus;Aus;0
-2,5263;-1,9967;68,9350;0,05;1,18;2,19;0,13;2,57;;Aus;Aus;0
-2,5496;-1,8924;60,0815;0,03;0,80;2,23;0,17;2,66;;Aus;Aus;0
-2,5711;-0,6857;23,0950;0,08;1,32;3,16;0,94;5,87;;Aus;Aus;0
-2,5748;2,1063;20,9231;0,02;0,63;2,31;0,23;2,91;;Aus;Aus;0
-2,6436;2,0577;18,9430;0,00;0,18;2,15;0,10;2,38;;Aus;Aus;0
-2,7198;1,7577;23,5873;0,19;3,55;2,28;0,22;2,95;;Aus;Aus;0
-2,7472;0,7207;58,4338;0,01;0,39;2,20;0,14;2,53;;Aus;Aus;0
-2,7547;-1,7203;68,4278;0,01;0,29;2,09;0,06;2,24;;Aus;Aus;0
-2,7856;1,8377;21,1988;0,00;0,20;2,07;0,05;2,19;;Aus;Aus;0
-2,8255;-1,7072;78,7870;0,00;0,24;2,04;0,03;2,11;;Aus;Aus;0
-2,8283;-1,5790;79,2721;0,00;0,12;2,04;0,03;2,11;;Aus;Aus;0
-2,8496;-1,3838;19,0839;0,01;0,28;2,13;0,10;2,37;;Aus;Aus;0
-2,8795;-1,3898;67,4571;0,00;0,01;2,00;0,00;2,01;;Aus;Aus;0
-2,9018;-1,2463;77,7142;0,01;0,22;2,09;0,06;2,24;;Aus;Aus;0
-2,9284;-1,2529;68,9198;0,04;1,23;2,10;0,08;2,33;;Aus;Aus;0
-2,9980;1,3209;22,6122;0,02;0,65;2,07;0,05;2,21;;Aus;Aus;0
-3,0052;0,9489;76,7888;0,00;0,01;2,00;0,00;2,01;;Aus;Aus;0
-3,0134;-1,2756;60,2103;0,00;0,01;2,00;0,00;2,01;;Aus;Aus;0
-3,0141;1,3371;22,1233;0,00;0,11;2,02;0,02;2,06;;Aus;Aus;0
-3,0319;1,4979;18,9222;0,00;0,02;2,01;0,01;2,02;;Aus;Aus;0
-3,0346;-1,2285;22,2930;0,03;0,72;2,17;0,12;2,49;;Aus;Aus;0
-3,0424;1,0236;79,0628;0,13;2,65;2,30;0,29;3,35;;Aus;Aus;0
-3,0471;-0,9399;67,4050;0,00;0,20;2,06;0,04;2,16;;Aus;Aus;0
-3,0731;0,9919;77,8496;0,01;0,27;2,11;0,07;2,29;;Aus;Aus;0
-3,0924;0,4142;78,2848;0,05;1,32;2,14;0,10;2,41;;Aus;Aus;0
-3,1111;1,2845;21,7353;0,01;0,47;2,07;0,05;2,19;;Aus;Aus;0
-3,1144;-0,6149;78,7466;0,12;2,70;2,21;0,18;2,86;;Aus;Aus;0
-3,1575;-0,6559;21,8599;0,11;2,84;2,14;0,11;2,48;;Aus;Aus;0
-3,1632;0,1950;79,0737;0,00;0,14;2,04;0,02;2,09;;Aus;Aus;0
-3,1653;0,8207;67,9298;0,00;0,22;2,05;0,03;2,12;;Aus;Aus;0
-3,1669;-0,4240;69,7934;0,18;3,63;2,19;0,16;2,72;;Aus;Aus;0
-3,1896;0,6294;59,5872;0,00;0,10;2,04;0,03;2,10;;Aus;Aus;0
-3,2017;-0,3842;77,4849;0,01;0,44;2,11;0,08;2,31;;Aus;Aus;0
-3,2018;-0,0451;23,1138;0,34;6,31;2,24;0,20;3,13;;Aus;Aus;0
-3,2041;-0,6413;60,5164;0,01;0,31;2,11;0,07;2,29;;Aus;Aus;0
-3,2060;0,4510;76,0796;0,04;0,84;2,18;0,13;2,50;;Aus;Aus;0
-3,2198;-0,0073;59,8846;0,02;0,47;2,13;0,09;2,34;;Aus;Aus;0
-3,2387;-0,1565;60,4614;0,00;0,16;2,05;0,03;2,12;;Aus;Aus;0
-3,2512;-0,1373;76,9622;0,03;0,80;2,24;0,18;2,72;;Aus;Aus;0
-3,2563;0,3513;60,3218;0,00;0,13;2,04;0,03;2,10;;Aus;Aus;0
-3,3164;-0,5535;19,7093;0,01;0,42;2,09;0,06;2,26;;Aus;Aus;0
-3,3464;0,2941;21,3893;0,10;2,58;2,19;0,17;2,75;;Aus;Aus;0

