Position x [mm];Position y [mm];Position z [mm];Volumen [mm³];Oberfläche [mm²];Mittlere Porosität [%];Porositätsabweichung [%];Maximale Porosität [%];Beschreibung;Bild;Fokussiertes Bild;Screenshots
0,3595;-0,3280;65,7351;0,01;0,36;2,35;0,25;2,97;;Aus;Aus;0
0,3522;0,2572;33,5403;0,00;0,21;2,16;0,11;2,41;;Aus;Aus;0
0,3501;0,4656;75,1084;0,16;2,21;4,59;2,34;12,29;;Aus;Aus;0
0,3443;1,5883;38,2358;0,03;0,70;2,57;0,43;3,74;;Aus;Aus;0
0,3353;0,1963;46,4276;0,48;5,35;4,26;2,66;15,89;;Aus;Aus;0
0,3287;0,4823;36,1868;0,06;1,35;2,28;0,20;2,89;;Aus;Aus;0
0,3239;-0,6135;33,5929;0,04;0,80;2,67;0,52;4,07;;Aus;Aus;0
0,3228;0,5346;60,3787;0,02;0,48;2,47;0,34;3,33;;Aus;Aus;0
0,3146;0,3543;77,7924;0,17;2,88;3,48;1,53;9,29;;Aus;Aus;0
0,3055;3,2679;68,3717;0,00;0,16;2,05;0,03;2,12;;Aus;Aus;0
0,2992;0,2961;71,0933;0,09;1,74;2,97;0,82;5,59;;Aus;Aus;0
0,2982;1,2590;61,7548;0,02;0,56;2,56;0,41;3,64;;Aus;Aus;0
0,2955;-3,1492;77,8207;0,04;0,97;2,15;0,10;2,42;;Aus;Aus;0
0,2898;-0,7789;29,8008;0,04;0,80;2,71;0,54;4,17;;Aus;Aus;0
0,2808;1,9496;23,6240;0,00;0,10;2,08;0,06;2,22;;Aus;Aus;0
0,2777;0,9798;59,8922;0,08;1,37;3,19;0,91;5,69;;Aus;Aus;0
0,2769;0,0832;45,1752;0,06;1,18;2,98;0,80;5,29;;Aus;Aus;0
0,2725;0,5403;32,1793;0,01;0,28;2,22;0,15;2,59;;Aus;Aus;0
0,2654;0,6145;66,4640;0,00;0,20;2,11;0,08;2,32;;Aus;Aus;0
0,2310;0,3799;54,7583;0,00;0,19;2,10;0,07;2,27;;Aus;Aus;0
0,2147;0,6863;18,8997;0,00;0,04;2,06;0,04;2,15;;Aus;Aus;0
0,2137;0,0303;78,6963;0,56;6,48;4,96;3,42;18,95;;Aus;Aus;0
0,2121;1,1358;63,7698;0,08;1,97;2,39;0,32;3,49;;Aus;Aus;0
0,2100;-2,0184;79,2143;0,11;1,72;4,15;1,86;10,01;;Aus;Aus;0
0,2099;-0,2425;72,4497;0,21;3,61;3,44;1,33;8,81;;Aus;Aus;0
0,2099;-3,2757;76,9180;0,05;1,05;2,24;0,17;2,69;;Aus;Aus;0
0,2055;0,5311;22,1430;0,05;0,92;3,08;0,84;5,44;;Aus;Aus;0
0,2045;1,1476;29,4410;0,15;2,08;4,36;2,21;11,95;;Aus;Aus;0
0,2032;3,3272;66,9754;0,00;0,15;2,05;0,04;2,14;;Aus;Aus;0
0,1835;1,8553;60,2740;0,14;1,94;4,77;2,52;13,12;;Aus;Aus;0
0,1681;0,7323;46,4150;0,05;1,23;2,29;0,27;3,15;;Aus;Aus;0
0,1565;-1,5629;64,0274;0,10;1,58;3,83;1,59;8,83;;Aus;Aus;0
0,1449;0,3993;63,3725;0,01;0,40;2,38;0,27;3,04;;Aus;Aus;0
0,1439;-0,2185;71,0121;42,45;435,56;2,73;1,11;21,19;;Aus;Aus;0
0,1420;-1,2071;72,9244;0,10;1,54;3,90;1,61;8,83;;Aus;Aus;0
0,1400;-0,8164;76,4873;0,22;3,02;4,14;1,95;10,89;;Aus;Aus;0
0,1338;-2,7431;20,1135;0,08;1,39;3,47;1,25;7,28;;Aus;Aus;0
0,1183;1,3862;19,0770;0,05;1,11;2,40;0,26;3,13;;Aus;Aus;0
0,1106;-0,4879;60,0333;0,01;0,26;2,24;0,17;2,64;;Aus;Aus;0
0,1048;1,0355;37,3750;0,03;0,65;2,30;0,22;2,88;;Aus;Aus;0
0,0986;-0,4136;48,3745;0,02;0,47;2,46;0,33;3,31;;Aus;Aus;0
0,0931;2,1095;20,4113;0,07;1,22;3,46;1,19;6,97;;Aus;Aus;0
0,0904;2,0230;62,5182;0,22;2,83;4,13;1,96;10,88;;Aus;Aus;0
0,0687;-0,4880;49,4938;0,03;0,67;2,68;0,51;4,06;;Aus;Aus;0
0,0639;-0,7014;33,0266;0,02;0,49;2,42;0,30;3,20;;Aus;Aus;0
0,0601;0,1804;76,2791;0,00;0,12;2,08;0,06;2,21;;Aus;Aus;0
0,0555;3,3280;19,3447;0,00;0,21;2,07;0,05;2,19;;Aus;Aus;0
0,0529;1,9033;22,7350;0,01;0,23;2,22;0,15;2,58;;Aus;Aus;0
0,0513;-2,2448;66,1699;0,04;0,88;2,74;0,56;4,26;;Aus;Aus;0
0,0419;0,3990;67,4922;0,15;2,07;4,83;2,61;13,59;;Aus;Aus;0
0,0419;-1,4755;65,3667;0,08;1,30;3,51;1,24;7,23;;Aus;Aus;0
0,0359;-0,7933;58,8841;0,01;0,27;2,26;0,18;2,70;;Aus;Aus;0
0,0353;-3,1223;19,2040;0,08;1,60;2,54;0,45;3,91;;Aus;Aus;0
0,0312;0,4557;29,0160;0,01;0,41;2,37;0,26;3,02;;Aus;Aus;0
0,0234;-0,9082;74,6906;0,07;1,22;3,41;1,15;6,80;;Aus;Aus;0
0,0102;1,1732;73,2925;0,62;6,76;5,34;3,43;18,45;;Aus;Aus;0
-0,0014;1,8611;78,2154;0,05;1,02;3,14;0,89;5,67;;Aus;Aus;0
-0,0033;-0,8878;32,1113;0,02;0,55;2,41;0,30;3,18;;Aus;Aus;0
-0,0047;0,2538;68,0553;0,00;0,21;2,17;0,12;2,46;;Aus;Aus;0
-0,0058;-0,2087;32,1064;0,18;2,32;4,60;2,41;12,60;;Aus;Aus;0
-0,0130;3,2701;23,6192;0,00;0,03;2,01;0,01;2,02;;Aus;Aus;0
-0,0137;-1,3237;20,4249;0,07;1,19;3,30;1,04;6,32;;Aus;Aus;0
-0,0210;-0,1474;74,8236;0,00;0,04;2,03;0,02;2,09;;Aus;Aus;0
-0,0340;1,0843;30,7444;0,10;1,60;3,37;1,22;7,19;;Aus;Aus;0
-0,0475;0,4629;32,5768;0,14;1,93;3,97;1,70;9,23;;Aus;Aus;0
-0,0553;0,9716;33,4562;0,27;3,08;4,38;2,35;13,15;;Aus;Aus;0
-0,0590;2,1344;67,2776;0,00;0,15;2,13;0,09;2,33;;Aus;Aus;0
-0,0639;-0,3839;72,8484;0,02;0,48;2,44;0,32;3,23;;Aus;Aus;0
-0,0640;-3,1307;78,3696;0,26;4,67;2,21;0,16;2,81;;Aus;Aus;0
-0,0672;2,7707;58,3253;0,02;0,48;2,10;0,07;2,27;;Aus;Aus;0
-0,0881;-2,3054;76,5321;0,16;2,19;3,94;1,65;9,07;;Aus;Aus;0
-0,0948;-3,2555;19,7121;0,01;0,44;2,09;0,06;2,23;;Aus;Aus;0
-0,1027;-1,3342;77,7057;0,01;0,27;2,24;0,17;2,65;;Aus;Aus;0
-0,1077;-1,2738;67,0245;0,00;0,01;2,01;0,01;2,03;;Aus;Aus;0
-0,1125;2,5342;72,7397;0,02;0,51;2,24;0,17;2,66;;Aus;Aus;0
-0,1142;-0,3113;25,3120;0,02;0,58;2,49;0,36;3,44;;Aus;Aus;0
-0,1146;2,0085;66,5560;0,36;5,90;3,42;1,34;9,25;;Aus;Aus;0
-0,1146;2,1624;74,4672;0,00;0,10;2,07;0,05;2,19;;Aus;Aus;0
